rep_invariance_mean,rep_invariance_std,bonus_within_std_mean,bonus_between_std,bonus_within_over_between,coverage_fraction,action_kl_mean,action_kl_std,update,env_steps,steps_per_state,coverage_percent,success_rate,p_succ_hat
0.0,0.0,0.0,0.004347851034253836,0.0,0.99,0.0,0.0,1,4096,40.96,99.0,0.3125,0.0
0.0,0.0,0.0,0.002313074190169573,0.0,1.0,0.0,0.0,5,20480,204.8,100.0,0.0625,0.0
0.0,0.0,0.0,0.002080662874504924,0.0,1.0,0.0,0.0,10,40960,409.6,100.0,0.0,0.0
0.0,0.0,0.0,0.0019711488857865334,0.0,1.0,0.0,0.0,15,61440,614.4,100.0,0.0,0.0
0.0,0.0,0.0,0.0017970013432204723,0.0,1.0,0.0,0.0,20,81920,819.2,100.0,0.0,0.0
0.0,0.0,0.0,0.001340313465334475,0.0,1.0,0.0,0.0,25,102400,1024.0,100.0,0.03125,0.0
0.0,0.0,0.0,0.001034046639688313,0.0,1.0,0.0,0.0,30,122880,1228.8,100.0,0.21875,0.0
0.0,0.0,0.0,0.0009191333083435893,0.0,1.0,0.0,0.0,35,143360,1433.6,100.0,0.09375,0.0
0.0,0.0,0.0,0.000905380176845938,0.0,1.0,0.0,0.0,40,163840,1638.4,100.0,0.0,0.0
0.0,0.0,0.0,0.0008488016319461167,0.0,1.0,0.0,0.0,45,184320,1843.2,100.0,0.125,0.0
0.0,0.0,0.0,0.000791160564403981,0.0,1.0,0.0,0.0,48,196608,1966.08,100.0,0.03125,0.0
