metric,value
coord_only_vs_coord_plus_nuisance,1.0
coord_only_vs_crtr_learned,1.0
coord_only_vs_idm_learned,1.0
coord_only_vs_crtr_online_joint,1.0
coord_only_vs_idm_online_joint,1.0
coord_plus_nuisance_vs_crtr_learned,0.0
coord_plus_nuisance_vs_idm_learned,0.0
coord_plus_nuisance_vs_crtr_online_joint,0.0
coord_plus_nuisance_vs_idm_online_joint,0.0
crtr_learned_vs_idm_learned,1.0
crtr_learned_vs_crtr_online_joint,1.0
crtr_learned_vs_idm_online_joint,0.009937592466338518
idm_learned_vs_crtr_online_joint,0.46457748143278543
idm_learned_vs_idm_online_joint,0.0
crtr_online_joint_vs_idm_online_joint,0.011543988749546985
