rep,value
coord_only,8.295356224152783e-08
coord_only,8.033966025777772e-08
coord_only,7.804574408964982e-08
coord_only,7.607905416762151e-08
coord_only,7.452415928810296e-08
coord_only,7.305129656742793e-08
coord_only,7.200659979389457e-08
coord_only,7.121080614069797e-08
coord_only,7.067761487178359e-08
coord_only,7.033668225631118e-08
coord_only,7.036143756522506e-08
coord_only,7.063334095391838e-08
coord_only,7.107041710696649e-08
coord_only,7.181085948104737e-08
coord_only,7.283636449528785e-08
coord_only,7.406656976627346e-08
coord_only,7.562714898767808e-08
coord_only,7.746796626406649e-08
coord_only,7.965623893824159e-08
coord_only,8.203660684102942e-08
coord_only,8.504535031761407e-08
coord_only,8.811992557866688e-08
coord_only,9.177653481629022e-08
coord_only,9.569063053049831e-08
coord_only,1.0034678155079746e-07
coord_only,1.0544277984081418e-07
coord_only,1.109502676399643e-07
coord_only,1.1718313430719718e-07
coord_only,1.240821774217693e-07
coord_only,1.3165917778223957e-07
coord_only,7.855578587623313e-08
coord_only,7.607938101727996e-08
coord_only,7.222595144185107e-08
coord_only,7.070493523997357e-08
coord_only,6.949255748622818e-08
coord_only,6.784398465242703e-08
coord_only,6.745626990323217e-08
coord_only,6.724383183609461e-08
coord_only,6.767920979200426e-08
coord_only,6.821758091746233e-08
coord_only,6.901787230617629e-08
coord_only,7.14515522304282e-08
coord_only,7.301711946183786e-08
coord_only,7.495059861639675e-08
coord_only,7.963306103420109e-08
coord_only,8.255686623215297e-08
coord_only,8.581437072052722e-08
coord_only,9.355674990274565e-08
coord_only,9.813079770992772e-08
coord_only,1.0323556409730372e-07
coord_only,1.1509729347380926e-07
coord_only,1.2198114518469083e-07
coord_only,1.2961905326847045e-07
coord_only,7.457468598204287e-08
coord_only,6.876264535549126e-08
coord_only,7.110275390687093e-08
coord_only,6.89474504156351e-08
coord_only,6.72196520667967e-08
coord_only,6.566531141061205e-08
coord_only,6.443175948334101e-08
coord_only,6.341169722645645e-08
coord_only,6.274424180219285e-08
coord_only,6.224679793831456e-08
coord_only,6.201476310252474e-08
coord_only,6.198147417535438e-08
coord_only,6.22590405896517e-08
coord_only,6.27165803734897e-08
coord_only,6.338557057006255e-08
coord_only,6.431425703112836e-08
coord_only,6.549645092945866e-08
coord_only,6.700552290794803e-08
coord_only,6.87113583808241e-08
coord_only,7.06780980408439e-08
coord_only,7.295616910596436e-08
coord_only,7.560475978607428e-08
coord_only,7.860355566435828e-08
coord_only,8.192509426407923e-08
coord_only,8.561822539832065e-08
coord_only,8.973260179345743e-08
coord_only,9.441062331916328e-08
coord_only,9.950260704272296e-08
coord_only,1.0522629878551015e-07
coord_only,1.11541623937228e-07
coord_only,1.1858408299758594e-07
coord_only,1.2637097768219974e-07
coord_only,6.791588447185859e-08
coord_only,6.596911106271364e-08
coord_only,6.295415744261845e-08
coord_only,6.183511658264251e-08
coord_only,6.094651183730093e-08
coord_only,5.991634566271387e-08
coord_only,5.977315709060349e-08
coord_only,5.984264106473347e-08
coord_only,6.065056368242949e-08
coord_only,6.144379227635e-08
coord_only,6.244677308586688e-08
coord_only,6.517210238143889e-08
coord_only,6.687609754862933e-08
coord_only,6.890931558700686e-08
coord_only,7.387045997120367e-08
coord_only,7.696314696659101e-08
coord_only,8.028926856695762e-08
coord_only,8.82762449805341e-08
coord_only,9.288682889518896e-08
coord_only,9.805363276882417e-08
coord_only,1.1023838197843361e-07
coord_only,1.1709663283454574e-07
coord_only,1.2497916657139285e-07
coord_only,6.524751228198511e-08
coord_only,6.33803836080915e-08
coord_only,6.05097909556207e-08
coord_only,5.946195358319528e-08
coord_only,5.8708568673182526e-08
coord_only,5.785744150443861e-08
coord_only,5.779584100196189e-08
coord_only,5.7959436361443295e-08
coord_only,5.888374232654314e-08
coord_only,5.965447513744948e-08
coord_only,6.067322289027288e-08
coord_only,6.353725723329262e-08
coord_only,6.530081009259447e-08
coord_only,6.739542612876903e-08
coord_only,7.244452149279823e-08
coord_only,7.54868096919381e-08
coord_only,7.892781894724976e-08
coord_only,8.271232587730992e-08
coord_only,8.687787556027615e-08
coord_only,9.166313219566291e-08
coord_only,9.681433255082084e-08
coord_only,1.0904661706945262e-07
coord_only,1.1610848815735153e-07
coord_only,1.238453819496499e-07
coord_only,6.283577391741346e-08
