metric,value
coord_only_vs_coord_plus_nuisance,1.0
coord_only_vs_crtr_learned,1.0
coord_only_vs_idm_learned,1.0
coord_only_vs_crtr_online_joint,1.0
coord_only_vs_idm_online_joint,1.0
coord_plus_nuisance_vs_crtr_learned,0.39536604101549044
coord_plus_nuisance_vs_idm_learned,0.4039968841565198
coord_plus_nuisance_vs_crtr_online_joint,0.4108761108045167
coord_plus_nuisance_vs_idm_online_joint,0.4085561094713379
crtr_learned_vs_idm_learned,1.0
crtr_learned_vs_crtr_online_joint,1.0
crtr_learned_vs_idm_online_joint,1.0
idm_learned_vs_crtr_online_joint,1.0
idm_learned_vs_idm_online_joint,1.0
crtr_online_joint_vs_idm_online_joint,0.9967414967482562
