rep,value
coord_only,1.599655661266297e-07
coord_only,1.4845379325834074e-07
coord_only,1.3822986488776223e-07
coord_only,1.287638440317096e-07
coord_only,1.2013092032248096e-07
coord_only,1.1265062482834765e-07
coord_only,1.0590823507072855e-07
coord_only,9.958118596387067e-08
coord_only,9.408116596887339e-08
coord_only,8.90959199750796e-08
coord_only,8.48352428306498e-08
coord_only,8.07976903161034e-08
coord_only,7.71985213532389e-08
coord_only,7.411048130734343e-08
coord_only,7.139836810665656e-08
coord_only,6.883905001586754e-08
coord_only,6.679572095436015e-08
coord_only,6.493853277333983e-08
coord_only,6.344574643435408e-08
coord_only,6.209605629692305e-08
coord_only,6.0888851294294e-08
coord_only,6.015216058585793e-08
coord_only,5.953613069209496e-08
coord_only,5.912564660093267e-08
coord_only,5.900498578625957e-08
coord_only,5.9073499869555235e-08
coord_only,5.928329116500208e-08
coord_only,5.979443074011215e-08
coord_only,6.04947416604773e-08
coord_only,6.13314767861084e-08
coord_only,1.5287878341041505e-07
coord_only,1.4186177565989055e-07
coord_only,1.2285818229429424e-07
coord_only,1.1508867459042449e-07
coord_only,1.0763324098661542e-07
coord_only,9.538113943108328e-08
coord_only,9.016488178303916e-08
coord_only,8.556465758147169e-08
coord_only,7.75253283791244e-08
coord_only,7.422325865036328e-08
coord_only,7.116614142432809e-08
coord_only,6.635127647314221e-08
coord_only,6.433887023149509e-08
coord_only,6.258718343588043e-08
coord_only,5.994904483941355e-08
coord_only,5.91547504313894e-08
coord_only,5.830103688708732e-08
coord_only,5.7639532258235704e-08
coord_only,5.7489160099066794e-08
coord_only,5.7458237279206514e-08
coord_only,5.851325113326311e-08
coord_only,5.922447599004954e-08
coord_only,6.01691425572426e-08
coord_only,1.4607698517465906e-07
coord_only,1.1785899545202483e-07
coord_only,1.3998942449688911e-07
coord_only,1.2990494724363089e-07
coord_only,1.2112650438211858e-07
coord_only,1.1275005817878991e-07
coord_only,1.0548865247983485e-07
coord_only,9.899729036533245e-08
coord_only,9.321229299530387e-08
coord_only,8.793480077429194e-08
coord_only,8.313630672773797e-08
coord_only,7.890109543495782e-08
coord_only,7.517822808722485e-08
coord_only,7.18003647648402e-08
coord_only,6.877478142541804e-08
coord_only,6.622516224297215e-08
coord_only,6.384107109624892e-08
coord_only,6.186382961459458e-08
coord_only,6.012123776599765e-08
coord_only,5.867574870421777e-08
coord_only,5.754069931640515e-08
coord_only,5.65214577363804e-08
coord_only,5.586904805454651e-08
coord_only,5.526211310780127e-08
coord_only,5.488618626259267e-08
coord_only,5.478856834884027e-08
coord_only,5.4921962089338194e-08
